Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Comment,Status Category
Documentation,DLCSV-20,10046,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,nayana.sm,6374ac029341d1f136040628,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:12,12/1/2022 12:54,12/1/2022 12:54,12/1/2022 12:43,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006j:,,,,,,DLCSV Sprint 4,,,4,,,,,,,,,,,Done
Testing Jsp Pages,DLCSV-19,10045,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Shruthi D,6374abfc3e79f12e571f7631,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:12,12/1/2022 12:54,12/1/2022 12:54,12/1/2022 12:17,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,DLCSV Sprint 4,,,3,,,,,,,,,,,Done
Notifying Police (If accident occurs),DLCSV-18,10044,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,sindhu.h,6374abff3e79f12e571f7632,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:12,12/1/2022 12:54,12/1/2022 12:54,12/1/2022 12:16,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,DLCSV Sprint 4,,,2,,,,,,,,,,,Done
Deny Acess to Invalid User,DLCSV-17,10043,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Banapili Saikumar,6374ac043e79f12e571f7635,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:12,12/1/2022 12:54,12/1/2022 12:54,12/1/2022 12:16,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,DLCSV Sprint 4,,,2,,,,,,,,,,,Done
Allow Access to Valid User,DLCSV-16,10042,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:11,12/1/2022 12:54,12/1/2022 12:54,12/1/2022 12:16,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00065:,,,,,,DLCSV Sprint 4,,,2,,,,,,,,,,,Done
Testing - Matching Selected Vehicle Type with user DL,DLCSV-15,10041,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Banapili Saikumar,6374ac043e79f12e571f7635,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:08,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:10,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,DLCSV Sprint 3,,,2,,,,,,,,,,,Done
Testing- Allowing valid user to register,DLCSV-14,10040,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,nayana.sm,6374ac029341d1f136040628,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:08,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:10,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,DLCSV Sprint 3,,,2,,,,,,,,,,,Done
Selecting Vehicle Type,DLCSV-13,10039,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,sindhu.h,6374abff3e79f12e571f7632,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:07,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:10,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,DLCSV Sprint 3,,,2,,,,,,,,,,,Done
New User Registration,DLCSV-12,10038,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:07,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:10,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,DLCSV Sprint 3,,,3,,,,,,,,,,,Done
User Login Page,DLCSV-11,10037,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Shruthi D,6374abfc3e79f12e571f7631,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:07,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:10,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,DLCSV Sprint 3,,,2,,,,,,,,,,,Done
Testing- Adding DL Information,DLCSV-10,10036,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Banapili Saikumar,6374ac043e79f12e571f7635,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:03,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:05,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,DLCSV Sprint 2,,,2,,,,,,,,,,,Done
Updating DL,DLCSV-9,10035,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,sindhu.h,6374abff3e79f12e571f7632,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:03,12/1/2022 12:53,12/1/2022 12:53,12/1/2022 12:05,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,DLCSV Sprint 2,,,3,,,,,,,,,,,Done
Listing DL,DLCSV-8,10034,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,nayana.sm,6374ac029341d1f136040628,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:03,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 12:05,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,DLCSV Sprint 2,,,2,,,,,,,,,,,Done
Adding DL Information,DLCSV-7,10033,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Shruthi D,6374abfc3e79f12e571f7631,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 12:02,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 12:05,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,DLCSV Sprint 2,,,3,,,,,,,,,,,Done
RTO Officer Login,DLCSV-6,10032,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:58,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 12:05,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,DLCSV Sprint 2,,,2,,,,,,,,,,,Done
"Designing JSP (About, FAQ pages)",DLCSV-5,10031,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,sindhu.h,6374abff3e79f12e571f7632,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:47,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 11:50,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,DLCSV Sprint 1,,,2,,,,,,,,,,,Done
Home Page,DLCSV-4,10030,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Banapili Saikumar,6374ac043e79f12e571f7635,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:44,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 11:50,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,DLCSV Sprint 1,,,3,,,,,,,,,,,Done
Designing,DLCSV-3,10029,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Shruthi D,6374abfc3e79f12e571f7631,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:10,12/1/2022 12:52,12/1/2022 12:52,12/1/2022 11:49,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,DLCSV Sprint 1,,,2,,,,,,,,,,,Done
Requirements Gathering,DLCSV-2,10028,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:09,12/1/2022 12:51,12/1/2022 12:51,12/1/2022 11:49,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,DLCSV Sprint 1,,,2,,,,,,,,,,,Done
Planning,DLCSV-1,10027,Task,Done,DLCSV,Driving License Controlled Smart Vehicle,software,Varshitha J,63747ff83c26ca7fa0d0ff8a,,Medium,Done,nayana.sm,6374ac029341d1f136040628,Varshitha J,63747ff83c26ca7fa0d0ff8a,Varshitha J,63747ff83c26ca7fa0d0ff8a,12/1/2022 11:07,12/1/2022 12:51,12/1/2022 12:51,12/1/2022 11:49,,0,,,,Varshitha J,63747ff83c26ca7fa0d0ff8a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002n:,,,,,,DLCSV Sprint 1,,,2,,,,,,,,,,,Done
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
